Date,Time,Name,MAC,Value
2023-06-14,15:46:01.654,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:02.652,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:03.662,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:04.654,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:05.657,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:06.663,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:07.669,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:08.669,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:09.668,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:10.656,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:11.660,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:12.659,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:13.655,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:14.665,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:15.674,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:16.659,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:17.665,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:18.676,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:19.667,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:20.671,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:21.667,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:22.673,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:23.674,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:24.670,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:25.671,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:26.669,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:27.667,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:28.674,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:29.664,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:30.675,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:31.679,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:32.676,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:33.674,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:34.673,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:35.672,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:36.675,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:37.665,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:38.665,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:39.675,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:40.669,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:41.670,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:42.681,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:43.677,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:44.675,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:45.688,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:46.682,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:47.677,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:48.692,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:49.688,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:50.681,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:51.669,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:52.687,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:53.686,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:54.683,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:55.682,AP1,f0:b4:29:db:56:85,-53
2023-06-14,15:46:56.676,AP1,f0:b4:29:db:56:85,-49
2023-06-14,15:46:57.679,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:46:58.672,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:46:59.709,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:47:00.698,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:47:01.682,AP1,f0:b4:29:db:56:85,-52
