Date,Time,Name,MAC,Value
2023-06-14,15:32:38.922,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:32:39.901,AP1,f0:b4:29:db:56:85,-52
2023-06-14,15:32:40.907,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:41.898,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:42.899,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:43.894,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:44.898,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:45.901,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:46.905,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:47.900,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:48.900,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:49.906,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:50.906,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:51.916,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:52.899,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:53.897,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:54.903,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:55.903,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:56.904,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:57.905,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:58.902,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:32:59.903,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:00.898,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:01.899,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:02.902,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:03.909,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:04.921,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:05.931,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:06.921,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:07.907,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:08.900,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:09.909,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:10.909,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:11.908,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:12.910,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:13.903,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:14.906,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:15.903,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:16.911,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:17.911,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:18.908,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:19.913,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:20.916,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:21.930,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:22.924,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:23.922,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:24.929,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:25.927,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:26.930,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:27.924,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:28.928,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:29.930,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:30.926,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:31.925,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:32.918,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:33.928,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:34.927,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:35.925,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:36.936,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:37.929,AP1,f0:b4:29:db:56:85,-44
2023-06-14,15:33:38.924,AP1,f0:b4:29:db:56:85,-44
