Date,Time,Name,MAC,Value
2023-06-14,15:37:18.766,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:19.755,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:20.763,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:21.774,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:22.772,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:23.763,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:24.774,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:25.772,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:26.782,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:27.778,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:28.774,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:29.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:30.786,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:31.759,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:32.767,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:33.759,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:34.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:35.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:36.773,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:37.761,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:38.759,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:39.763,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:40.772,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:41.773,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:42.771,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:43.754,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:44.764,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:45.767,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:46.774,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:47.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:48.777,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:49.766,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:50.764,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:51.776,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:52.782,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:53.769,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:54.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:55.770,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:56.783,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:57.778,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:58.785,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:37:59.776,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:00.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:01.769,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:02.768,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:03.775,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:04.780,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:05.782,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:06.776,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:07.783,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:08.781,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:09.785,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:10.760,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:11.769,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:12.770,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:13.784,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:14.783,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:15.782,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:16.774,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:17.771,AP1,f0:b4:29:db:56:85,-41
2023-06-14,15:38:18.763,AP1,f0:b4:29:db:56:85,-41
