AP1,AP2,x,y
-33.0,-45.0,1.5,1.9
-33.0,-45.0,1.0195342302322388,2.3225252628326416
-36.75165939331055,-43.918155670166016,0.7207552790641785,3.5453243255615234
-51.0,-45.0,1.0,3.7
-51.0,-45.0,3.1817610263824463,5.837069511413574
-50.45907974243164,-46.87582778930664,3.6243529319763184,5.494833469390869
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.7911701798439026,4.620326519012451
-36.18861770629883,-30.813743591308594,-0.7834937572479248,4.2487688064575195
-48.0,-37.0,4.0,7.3
-48.0,-37.0,2.025217056274414,8.041845321655273
-47.0083122253418,-40.43901824951172,2.750560760498047,7.983448028564453
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.7511341571807861,7.90740442276001
-39.737850189208984,-31.376934051513672,-0.5599672794342041,5.626455307006836
-49.0,-43.0,2.5,7.3
-49.0,-43.0,3.032935380935669,5.325399398803711
-48.45907974243164,-44.87582778930664,3.093311071395874,4.7091145515441895
-44.0,-37.0,1.5,3.7
-44.0,-37.0,1.5673496723175049,5.221526145935059
-43.36892318725586,-39.18846893310547,1.2799121141433716,5.7435784339904785
-46.0,-46.0,3.0,1.9
-46.0,-46.0,2.8804640769958496,4.8727898597717285
-45.909847259521484,-45.909847259521484,2.833960771560669,4.925051689147949
-44.0,-27.0,0.5,8.2
-44.0,-27.0,0.18721963465213776,8.359591484069824
-42.46738815307617,-32.314849853515625,0.018016913905739784,7.041872978210449
-43.0,-37.0,0.5,7.3
-43.0,-37.0,1.384570598602295,5.498980522155762
-42.45907974243164,-38.87582778930664,1.173999309539795,5.733954906463623
-43.0,-44.0,3.5,2.8
-43.0,-44.0,1.0063636302947998,3.9462380409240723
-43.31263732910156,-43.909847259521484,1.2609972953796387,4.366443157196045
-51.0,-45.0,1.0,3.7
-51.0,-45.0,3.1817610263824463,5.837069511413574
-50.45907974243164,-46.87582778930664,3.6243529319763184,5.494833469390869
-50.0,-39.0,3.5,7.3
-50.0,-39.0,2.367234230041504,7.971676349639893
-49.0083122253418,-42.43901824951172,3.006812572479248,5.828117370605469
