AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
-45.0,-50.0,-45.0,-50.0,0,0,1.08622961500351,1.082967407477817
-47.0,-43.0,-47.0,-43.0,0,0,1.08622961500351,1.082967407477817
-50.0,-41.0,-50.0,-41.0,0,0,1.08622961500351,1.082967407477817
-41.0,-55.0,-41.0,-55.0,0,0,1.08622961500351,1.082967407477817
-50.0,-27.0,-50.0,-28.803375244140625,0,0,1.08622961500351,1.082967407477817
-48.0,-37.0,-48.0,-37.0,0,0,1.08622961500351,1.082967407477817
-42.0,-48.0,-42.0,-48.0,0,0,1.08622961500351,1.082967407477817
-32.0,-47.0,-32.0,-47.0,0,0,1.08622961500351,1.082967407477817
-43.0,-40.0,-43.0,-40.0,0,0,1.08622961500351,1.082967407477817
-48.0,-44.0,-48.0,-44.0,0,0,1.08622961500351,1.082967407477817
-36.0,-44.0,-36.0,-44.0,0,0,1.08622961500351,1.082967407477817
-29.0,-49.0,-30.568153381347656,-49.0,0,0,1.08622961500351,1.082967407477817
-38.0,-48.0,-38.0,-48.0,0,0,1.08622961500351,1.082967407477817
-36.0,-39.0,-36.0,-39.0,0,0,1.08622961500351,1.082967407477817
-37.0,-28.0,-37.0,-28.0,0,0,1.08622961500351,1.082967407477817
-43.0,-44.0,-43.0,-44.0,0,0,1.08622961500351,1.082967407477817
-46.0,-46.0,-46.0,-46.0,0,0,1.08622961500351,1.082967407477817
-50.0,-39.0,-50.0,-39.0,0,0,1.08622961500351,1.082967407477817
-50.0,-39.0,-50.0,-39.0,0,0,1.08622961500351,1.082967407477817
-41.0,-27.0,-41.0,-28.097707748413086,0,0,1.08622961500351,1.082967407477817
-40.0,-42.0,-40.0,-42.0,0,0,1.08622961500351,1.082967407477817
-51.0,-45.0,-51.0,-45.0,0,0,1.08622961500351,1.082967407477817
-42.0,-48.0,-42.0,-48.0,0,0,1.08622961500351,1.082967407477817
-45.0,-40.0,-45.0,-40.0,0,0,1.08622961500351,1.082967407477817
-56.0,-31.0,-56.0,-32.96018981933594,0,0,1.08622961500351,1.082967407477817
-47.0,-43.0,-47.0,-43.0,0,0,1.08622961500351,1.082967407477817
-45.0,-46.0,-45.0,-46.0,0,0,1.08622961500351,1.082967407477817
-44.0,-27.0,-44.0,-28.332929611206055,0,0,1.08622961500351,1.082967407477817
-44.0,-27.0,-44.0,-28.332929611206055,0,0,1.08622961500351,1.082967407477817
-65.0,-48.0,-65.0,-49.33293151855469,0,0,1.08622961500351,1.082967407477817
-46.0,-38.0,-46.0,-38.0,0,0,1.08622961500351,1.082967407477817
-42.0,-55.0,-42.0,-55.0,0,0,1.08622961500351,1.082967407477817
-50.0,-22.0,-50.0,-23.720905303955078,0,0,1.1368048188942026,1.1379689407019447
-42.0,-22.0,-42.0,-23.568153381347656,0,0,1.1368048188942026,1.1379689407019447
-43.0,-39.0,-43.0,-39.0,0,0,1.1368048188942026,1.1379689407019447
-38.0,-48.0,-38.0,-48.0,0,0,1.1368048188942026,1.1379689407019447
-50.0,-39.0,-50.0,-39.0,0,0,1.1368048188942026,1.1379689407019447
-32.0,-47.0,-32.0,-47.0,0,0,1.1368048188942026,1.1379689407019447
-43.0,-37.0,-43.0,-37.0,0,0,1.1368048188942026,1.1379689407019447
-48.0,-46.0,-48.0,-46.0,0,0,1.1368048188942026,1.1379689407019447
-47.0,-43.0,-47.0,-43.0,0,0,1.1368048188942026,1.1379689407019447
-27.0,-48.0,-28.646560668945312,-48.0,0,0,1.1368048188942026,1.1379689407019447
-41.0,-55.0,-41.0,-55.0,0,0,1.1368048188942026,1.1379689407019447
-51.0,-45.0,-51.0,-45.0,0,0,1.1368048188942026,1.1379689407019447
-43.0,-57.0,-44.09770584106445,-57.0,0,0,1.1368048188942026,1.1379689407019447
-40.0,-41.0,-40.0,-41.0,0,0,1.1368048188942026,1.1379689407019447
-47.0,-43.0,-47.0,-43.0,0,0,1.1368048188942026,1.1379689407019447
-47.0,-43.0,-47.0,-43.0,0,0,1.1368048188942026,1.1379689407019447
-43.0,-44.0,-43.0,-44.0,0,0,1.1368048188942026,1.1379689407019447
-50.0,-39.0,-50.0,-39.0,0,0,1.1368048188942026,1.1379689407019447
-56.0,-31.0,-56.0,-32.96018981933594,0,0,1.1368048188942026,1.1379689407019447
-42.0,-55.0,-42.0,-55.0,0,0,1.1368048188942026,1.1379689407019447
-33.0,-45.0,-33.0,-45.0,0,0,1.1368048188942026,1.1379689407019447
-37.0,-28.0,-37.0,-28.0,0,0,1.1368048188942026,1.1379689407019447
-48.0,-37.0,-48.0,-37.0,0,0,1.1368048188942026,1.1379689407019447
-45.0,-40.0,-45.0,-40.0,0,0,1.1368048188942026,1.1379689407019447
-45.0,-50.0,-45.0,-50.0,0,0,1.1368048188942026,1.1379689407019447
-45.0,-40.0,-45.0,-40.0,0,0,1.1368048188942026,1.1379689407019447
-32.0,-47.0,-32.0,-47.0,0,0,1.1368048188942026,1.1379689407019447
-44.0,-27.0,-44.0,-28.332929611206055,0,0,1.1368048188942026,1.1379689407019447
-43.0,-57.0,-44.09770584106445,-57.0,0,0,1.1368048188942026,1.1379689407019447
-49.0,-43.0,-49.0,-43.0,0,0,1.1368048188942026,1.1379689407019447
-56.0,-31.0,-56.0,-32.96018981933594,0,0,1.1368048188942026,1.1379689407019447
