X,Y,AP1,AP2,error,AP1_attack,AP2_attack,error_adv,layers1,layers2
4.75,2.8,-45.0,-50.0,0.854282226483439,-46.32027816772461,-49.85954666137695,0.9867648233065065,4,6
2.5,6.4,-47.0,-43.0,1.426702335387327,-46.88763427734375,-44.05622100830078,1.4412367673182758,5,3
4.0,1.9,-50.0,-41.0,4.542078625413574,-49.7471809387207,-43.37649917602539,4.416888975252102,3,6
2.5,4.6,-41.0,-55.0,0.4851655909656414,-44.69677734375,-54.606727600097656,1.4068243979043207,4,4
1.0,7.3,-50.0,-27.0,0.4154168004195969,-49.35390853881836,-33.073280334472656,1.3859965499727671,5,2
4.0,7.3,-48.0,-37.0,1.4899298481891894,-47.69099807739258,-39.90461349487305,1.584640615660525,6,3
4.0,8.2,-42.0,-48.0,1.8826748642618742,-43.58433532714844,-47.83145523071289,2.379403313842358,6,3
2.5,1.9,-32.0,-47.0,0.5902618302483971,-35.96083450317383,-46.578636169433594,2.179284776367403,2,6
3.0,8.2,-43.0,-40.0,1.7498085029397907,-42.91572570800781,-40.79216766357422,1.5034752458888891,6,2
4.0,6.4,-48.0,-44.0,0.9614531276909516,-47.88763427734375,-45.05622100830078,0.3890157533199072,5,4
-0.8,1.9,-36.0,-44.0,0.871104601708701,-38.11244583129883,-43.775272369384766,1.369011870141492,2,5
2.0,1.9,-29.0,-49.0,0.22923095352958164,-34.28111267089844,-48.43817901611328,0.2168652163259377,2,6
-0.8,2.8,-38.0,-48.0,0.6119844088054006,-40.64055633544922,-47.71908950805664,2.7725037183710914,2,5
1.0,3.7,-36.0,-39.0,0.7902255552452504,-36.79216766357422,-38.91572570800781,0.6371291425258605,3,4
-0.8,3.7,-37.0,-28.0,0.9883172881166469,-36.7471809387207,-30.376501083374023,0.8716328231394288,4,4
3.5,2.8,-43.0,-44.0,1.9464577389395252,-43.26405715942383,-43.97190856933594,1.8982146404131044,3,5
3.0,2.8,-46.0,-46.0,1.8974520182400556,-45.97190856933594,-45.97190856933594,1.886192902229403,3,5
3.5,7.3,-50.0,-39.0,0.8629222742646114,-49.69099807739258,-41.90461349487305,1.179821412701972,5,3
