X,Y,AP1,AP2,error,AP1_attack,AP2_attack,error_adv,layers1,layers2
4.75,2.8,-45.0,-50.0,0.3960580034945485,-46.32027816772461,-50.0,0.678909302106683,4,6
2.5,6.4,-47.0,-43.0,1.2709671352743004,-47.0,-44.05622100830078,1.592431741788466,5,3
4.0,1.9,-50.0,-41.0,3.8448390440106595,-50.0,-43.37649917602539,4.0672026647370325,3,6
2.5,4.6,-41.0,-55.0,1.1092548950549228,-44.69677734375,-55.0,1.8865755492345253,4,4
1.0,7.3,-50.0,-27.0,1.7369019350016526,-50.0,-33.073280334472656,1.2137635418749269,5,2
4.0,7.3,-48.0,-37.0,0.9653336056927322,-48.0,-39.90461349487305,1.211114031964584,6,3
4.0,8.2,-42.0,-48.0,0.29807510323314423,-43.58433532714844,-48.0,1.3686059927067902,6,3
2.5,1.9,-32.0,-47.0,0.7838018848591569,-35.96083450317383,-47.0,2.775987491043558,2,6
3.0,8.2,-43.0,-40.0,1.4782318376822945,-43.0,-40.79216766357422,1.1654277272719482,6,2
4.0,6.4,-48.0,-44.0,1.0185894847681205,-48.0,-45.05622100830078,0.19639376760207505,5,4
-0.8,1.9,-36.0,-44.0,0.15282834262213327,-38.11244583129883,-44.0,1.214681620300293,2,5
2.0,1.9,-29.0,-49.0,0.015397104136957471,-34.28111267089844,-49.0,0.2539119199475482,2,6
-0.8,2.8,-38.0,-48.0,0.6652056345592026,-40.64055633544922,-48.0,6.190782259473637,2,5
1.0,3.7,-36.0,-39.0,0.3316913684537684,-36.79216766357422,-39.0,0.33581917305381415,3,4
-0.8,3.7,-37.0,-28.0,0.5132323094416641,-37.0,-30.376501083374023,0.4483290367905689,3,4
3.5,2.8,-43.0,-44.0,1.7832787130700325,-43.26405715942383,-44.0,1.7634464114361548,3,5
3.0,2.8,-46.0,-46.0,2.037415024303878,-46.0,-46.0,2.037415024303878,3,5
3.5,7.3,-50.0,-39.0,0.42839654017582823,-50.0,-41.90461349487305,2.0894623258978657,5,3
3.5,7.3,-50.0,-39.0,0.42839654017582823,-50.0,-41.90461349487305,2.0894623258978657,5,3
-0.8,8.2,-41.0,-27.0,0.4432262406064045,-41.0,-30.696779251098633,1.2261783101532846,6,2
0.5,2.8,-40.0,-42.0,0.6169863638712629,-40.52811050415039,-42.0,0.7123743067582858,2,5
1.0,3.7,-51.0,-45.0,2.0955048638788845,-51.0,-46.58433532714844,3.331011946738059,3,4
4.0,9.1,-42.0,-48.0,1.1341999521415824,-43.58433532714844,-48.0,2.246427075430167,7,3
3.5,9.1,-45.0,-40.0,1.5813192906960525,-45.0,-41.32027816772461,1.9107213394574458,6,2
2.5,9.1,-56.0,-31.0,0.41535753089083194,-56.0,-37.60139083862305,2.8697093694045113,6,2
3.0,3.7,-47.0,-43.0,1.6287314570938651,-47.0,-44.05622100830078,1.4484606188940559,3,5
4.0,3.7,-45.0,-46.0,1.3409047506533986,-45.26405715942383,-46.0,1.3119933390403726,4,5
0.5,8.2,-44.0,-27.0,0.5181553905494737,-44.0,-31.48894500732422,0.7526736275618379,5,2
0.5,9.1,-44.0,-27.0,0.5811096952197418,-44.0,-31.48894500732422,1.433606928719484,6,1
4.75,3.7,-65.0,-48.0,0.004491091935370647,-65.0,-52.48894500732422,4.440013891602485e-05,4,5
1.5,9.1,-46.0,-38.0,1.5660239055744185,-46.0,-40.11244583129883,1.6977777467032902,6,2
2.0,2.8,-42.0,-55.0,1.6605122384552826,-45.43272399902344,-55.0,2.7672177391249004,2,5
-0.8,9.1,-50.0,-22.0,0.04704064564008632,-50.0,-29.393556594848633,1.5636506175361613,6,1
-0.8,8.2,-42.0,-22.0,0.5487151641244226,-42.0,-27.281112670898438,0.3690174901673475,6,2
0.5,4.6,-43.0,-39.0,1.9521642830414592,-43.0,-40.05622100830078,2.9525496138608465,3,4
-0.8,2.8,-38.0,-48.0,0.6652056345592026,-40.64055633544922,-48.0,6.190782259473637,2,5
3.5,7.3,-50.0,-39.0,0.42839654017582823,-50.0,-41.90461349487305,2.0894623258978657,5,3
2.5,2.8,-32.0,-47.0,1.0646263292472955,-35.96083450317383,-47.0,2.6827275386965574,3,5
0.5,7.3,-43.0,-37.0,1.8757361896044895,-43.0,-38.58433532714844,2.045677559869829,5,2
4.75,8.2,-48.0,-46.0,1.0120670146934538,-48.0,-46.52811050415039,0.813316928400594,6,3
3.0,4.6,-47.0,-43.0,0.739612585265726,-47.0,-44.05622100830078,0.6366417020584585,4,4
2.0,1.9,-27.0,-48.0,0.0018112668619806966,-32.545166015625,-48.0,0.335050363871098,2,6
2.5,4.6,-41.0,-55.0,1.1092548950549228,-44.69677734375,-55.0,1.8865755492345253,4,4
1.0,4.6,-51.0,-45.0,1.4361707408616935,-51.0,-46.58433532714844,2.644959434488198,3,4
3.0,6.4,-43.0,-57.0,1.3297593176738243,-46.69677734375,-57.0,1.9891445506917256,5,3
-0.8,6.4,-40.0,-41.0,2.4967822407629354,-40.26405715942383,-41.0,2.503859978066609,4,2
3.0,3.7,-47.0,-43.0,1.6287314570938651,-47.0,-44.05622100830078,1.4484606188940559,3,5
3.0,4.6,-47.0,-43.0,0.739612585265726,-47.0,-44.05622100830078,0.6366417020584585,4,4
3.5,3.7,-43.0,-44.0,1.2440226784885127,-43.26405715942383,-44.0,1.1413442586564546,3,5
3.5,7.3,-50.0,-39.0,0.42839654017582823,-50.0,-41.90461349487305,2.0894623258978657,5,3
2.5,9.1,-56.0,-31.0,0.41535753089083194,-56.0,-37.60139083862305,2.8697093694045113,6,2
2.0,2.8,-42.0,-55.0,1.6605122384552826,-45.43272399902344,-55.0,2.7672177391249004,2,5
1.5,1.9,-33.0,-45.0,0.5566029530376847,-36.16866683959961,-45.0,2.170143190314558,2,6
-0.8,4.6,-37.0,-28.0,0.38699272836825394,-37.0,-30.376501083374023,0.4519178927544907,3,4
4.0,7.3,-48.0,-37.0,0.9653336056927322,-48.0,-39.90461349487305,1.211114031964584,6,3
3.5,8.2,-45.0,-40.0,0.9603276045396529,-45.0,-41.32027816772461,1.080534777325135,6,3
4.75,1.9,-45.0,-50.0,1.2756293541434636,-46.32027816772461,-50.0,1.519294568079025,3,6
3.5,9.1,-45.0,-40.0,1.5813192906960525,-45.0,-41.32027816772461,1.9107213394574458,6,2
2.5,1.9,-32.0,-47.0,0.7838018848591569,-35.96083450317383,-47.0,2.775987491043558,2,6
0.5,9.1,-44.0,-27.0,0.5811096952197418,-44.0,-31.48894500732422,1.433606928719484,6,1
3.0,6.4,-43.0,-57.0,1.3297593176738243,-46.69677734375,-57.0,1.9891445506917256,5,3
2.5,7.3,-49.0,-43.0,1.542484682547526,-49.0,-44.58433532714844,1.574913374732473,5,3
2.5,9.1,-56.0,-31.0,0.41535753089083194,-56.0,-37.60139083862305,2.8697093694045113,6,2
-0.8,1.9,-36.0,-44.0,0.15282834262213327,-38.11244583129883,-44.0,1.214681620300293,2,5
3.0,4.6,-47.0,-43.0,0.739612585265726,-47.0,-44.05622100830078,0.6366417020584585,4,4
0.5,7.3,-43.0,-37.0,1.8757361896044895,-43.0,-38.58433532714844,2.045677559869829,5,2
