X,Y,AP1,AP2,error,AP1_attack,AP2_attack,error_adv,layers1,layers2
4.75,2.8,-45.0,-50.0,0.29552589647062255,-46.32027816772461,-50.0,0.3381348337365722,4,6
2.5,6.4,-47.0,-43.0,1.2985576179983602,-47.0,-44.05622100830078,1.6183879192302268,5,3
4.0,1.9,-50.0,-41.0,3.385285582008352,-50.0,-43.37649917602539,3.6013776375915905,3,6
2.5,4.6,-41.0,-55.0,0.15070346512104146,-44.69677734375,-55.0,1.4947018105332683,4,4
1.0,7.3,-50.0,-27.0,1.818441223837535,-50.0,-33.073280334472656,1.6527749633608664,5,2
4.0,7.3,-48.0,-37.0,1.3509325752936219,-48.0,-39.90461349487305,1.0940882820580982,6,3
4.0,8.2,-42.0,-48.0,0.3315690250200159,-43.58433532714844,-48.0,2.124376791750629,6,3
2.5,1.9,-32.0,-47.0,0.6061154096702552,-35.96083450317383,-47.0,2.873777038294903,2,6
3.0,8.2,-43.0,-40.0,1.4879888760266287,-43.0,-40.79216766357422,1.4338491606912316,6,2
4.0,6.4,-48.0,-44.0,0.7581360705478842,-48.0,-45.05622100830078,0.611078478658585,5,4
-0.8,1.9,-36.0,-44.0,0.47422985234757753,-38.11244583129883,-44.0,1.4533379840190848,2,5
2.0,1.9,-29.0,-49.0,0.7678920947047786,-34.28111267089844,-49.0,0.7316300771188453,2,6
-0.8,2.8,-38.0,-48.0,1.3535956511318294,-40.64055633544922,-48.0,5.937908699086235,2,5
1.0,3.7,-36.0,-39.0,0.2396849402758608,-36.79216766357422,-39.0,0.33101988776554414,3,4
-0.8,3.7,-37.0,-28.0,0.9363054444137977,-37.0,-30.376501083374023,2.0299292759374747,3,4
3.5,2.8,-43.0,-44.0,1.9716857294960881,-43.26405715942383,-44.0,1.8774318606896736,3,5
3.0,2.8,-46.0,-46.0,1.2923378073990923,-46.0,-46.0,1.2923378073990923,3,5
3.5,7.3,-50.0,-39.0,0.9612125560435916,-50.0,-41.90461349487305,2.445445830297538,5,3
3.5,7.3,-50.0,-39.0,0.9612125560435916,-50.0,-41.90461349487305,2.445445830297538,5,3
-0.8,8.2,-41.0,-27.0,0.9931405038007517,-41.0,-30.696779251098633,2.984200088262301,6,2
0.5,2.8,-40.0,-42.0,0.8739051224082042,-40.52811050415039,-42.0,1.2243234893249275,2,5
1.0,3.7,-51.0,-45.0,0.17780388670760172,-51.0,-46.58433532714844,0.19445694876197941,3,4
4.0,9.1,-42.0,-48.0,1.119699151866897,-43.58433532714844,-48.0,3.023939856088229,7,3
3.5,9.1,-45.0,-40.0,1.1670422572279477,-45.0,-41.32027816772461,1.8479614346848097,6,2
2.5,9.1,-56.0,-31.0,0.17651804976916696,-56.0,-37.60139083862305,2.778406358725657,6,2
3.0,3.7,-47.0,-43.0,1.5518136880321864,-47.0,-44.05622100830078,1.264224005972737,3,5
4.0,3.7,-45.0,-46.0,0.8642879307294657,-45.26405715942383,-46.0,0.7559104780239538,4,5
0.5,8.2,-44.0,-27.0,0.34580009776078474,-44.0,-31.48894500732422,2.7756902529770255,5,2
0.5,9.1,-44.0,-27.0,0.5542066103763278,-44.0,-31.48894500732422,3.656318082165527,6,1
4.75,3.7,-65.0,-48.0,0.006845473820350558,-65.0,-52.48894500732422,0.0009153491348498036,4,5
1.5,9.1,-46.0,-38.0,1.7127996766101983,-46.0,-40.11244583129883,2.422380959621284,6,2
2.0,2.8,-42.0,-55.0,2.420043172918051,-45.43272399902344,-55.0,2.8572750886356846,2,5
-0.8,9.1,-50.0,-22.0,0.0025624085631703038,-50.0,-29.393556594848633,3.050645339957289,6,1
-0.8,8.2,-42.0,-22.0,1.0155363983828751,-42.0,-27.281112670898438,1.182396691721468,6,2
0.5,4.6,-43.0,-39.0,2.271583881237339,-43.0,-40.05622100830078,2.9188535714848878,3,4
-0.8,2.8,-38.0,-48.0,1.3535956511318294,-40.64055633544922,-48.0,5.937908699086235,2,5
3.5,7.3,-50.0,-39.0,0.9612125560435916,-50.0,-41.90461349487305,2.445445830297538,5,3
2.5,2.8,-32.0,-47.0,0.38571304320486394,-35.96083450317383,-47.0,2.613038210184809,3,5
0.5,7.3,-43.0,-37.0,1.5870121515359308,-43.0,-38.58433532714844,1.475919236919494,5,2
4.75,8.2,-48.0,-46.0,2.2374723566386834,-48.0,-46.52811050415039,2.2877741102064455,6,3
3.0,4.6,-47.0,-43.0,0.6562851447903676,-47.0,-44.05622100830078,0.40587219271152164,4,4
2.0,1.9,-27.0,-48.0,0.782642074505932,-32.545166015625,-48.0,0.6930237731904625,2,6
2.5,4.6,-41.0,-55.0,0.15070346512104146,-44.69677734375,-55.0,1.4947018105332683,4,4
1.0,4.6,-51.0,-45.0,0.754681731380221,-51.0,-46.58433532714844,0.7412000593807522,3,4
3.0,6.4,-43.0,-57.0,0.24127024516103673,-46.69677734375,-57.0,0.4594940935161032,5,3
-0.8,6.4,-40.0,-41.0,2.8470007558848303,-40.26405715942383,-41.0,2.788123757531936,4,2
3.0,3.7,-47.0,-43.0,1.5518136880321864,-47.0,-44.05622100830078,1.264224005972737,3,5
3.0,4.6,-47.0,-43.0,0.6562851447903676,-47.0,-44.05622100830078,0.40587219271152164,4,4
3.5,3.7,-43.0,-44.0,1.175665287683198,-43.26405715942383,-44.0,1.077997703908499,3,5
3.5,7.3,-50.0,-39.0,0.9612125560435916,-50.0,-41.90461349487305,2.445445830297538,5,3
2.5,9.1,-56.0,-31.0,0.17651804976916696,-56.0,-37.60139083862305,2.778406358725657,6,2
2.0,2.8,-42.0,-55.0,2.420043172918051,-45.43272399902344,-55.0,2.8572750886356846,2,5
1.5,1.9,-33.0,-45.0,0.5769869041112703,-36.16866683959961,-45.0,2.151807297848735,2,6
-0.8,4.6,-37.0,-28.0,0.04727698755013535,-37.0,-30.376501083374023,1.2424666033944687,3,4
4.0,7.3,-48.0,-37.0,1.3509325752936219,-48.0,-39.90461349487305,1.0940882820580982,6,3
3.5,8.2,-45.0,-40.0,0.39832575912808693,-45.0,-41.32027816772461,0.9704827167319661,6,3
4.75,1.9,-45.0,-50.0,0.6174244019050434,-46.32027816772461,-50.0,0.9360386779966887,3,6
3.5,9.1,-45.0,-40.0,1.1670422572279477,-45.0,-41.32027816772461,1.8479614346848097,6,2
2.5,1.9,-32.0,-47.0,0.6061154096702552,-35.96083450317383,-47.0,2.873777038294903,2,6
0.5,9.1,-44.0,-27.0,0.5542066103763278,-44.0,-31.48894500732422,3.656318082165527,6,1
3.0,6.4,-43.0,-57.0,0.24127024516103673,-46.69677734375,-57.0,0.4594940935161032,5,3
2.5,7.3,-49.0,-43.0,1.3091430560004405,-49.0,-44.58433532714844,1.8836694299231482,5,3
2.5,9.1,-56.0,-31.0,0.17651804976916696,-56.0,-37.60139083862305,2.778406358725657,6,2
-0.8,1.9,-36.0,-44.0,0.47422985234757753,-38.11244583129883,-44.0,1.4533379840190848,2,5
3.0,4.6,-47.0,-43.0,0.6562851447903676,-47.0,-44.05622100830078,0.40587219271152164,4,4
0.5,7.3,-43.0,-37.0,1.5870121515359308,-43.0,-38.58433532714844,1.475919236919494,5,2
3.5,8.2,-45.0,-40.0,0.39832575912808693,-45.0,-41.32027816772461,0.9704827167319661,6,3
4.75,7.3,-45.0,-47.0,3.010235728607229,-45.52811050415039,-47.0,3.2246147323527614,6,4
2.0,6.4,-43.0,-45.0,1.2125719828526362,-43.52811050415039,-45.0,1.5918210727952649,4,3
4.75,1.9,-45.0,-50.0,0.6174244019050434,-46.32027816772461,-50.0,0.9360386779966887,3,6
1.0,3.7,-36.0,-39.0,0.2396849402758608,-36.79216766357422,-39.0,0.33101988776554414,3,4
3.5,1.9,-43.0,-37.0,4.59175898986051,-43.0,-38.58433532714844,4.821889435434811,3,6
3.5,2.8,-43.0,-44.0,1.9716857294960881,-43.26405715942383,-44.0,1.8774318606896736,3,5
2.5,9.1,-56.0,-31.0,0.17651804976916696,-56.0,-37.60139083862305,2.778406358725657,6,2
3.0,1.9,-56.0,-31.0,7.060002545635141,-56.0,-37.60139083862305,4.569195114780221,3,6
3.5,9.1,-45.0,-40.0,1.1670422572279477,-45.0,-41.32027816772461,1.8479614346848097,6,2
1.5,8.2,-47.0,-37.0,1.2050044324909173,-47.0,-39.64055633544922,1.9829215220206826,6,2
3.0,7.3,-43.0,-57.0,0.6809438794566423,-46.69677734375,-57.0,1.3338726132475454,5,3
3.0,8.2,-43.0,-40.0,1.4879888760266287,-43.0,-40.79216766357422,1.4338491606912316,6,2
2.0,1.9,-29.0,-49.0,0.7678920947047786,-34.28111267089844,-49.0,0.7316300771188453,2,6
3.5,9.1,-45.0,-40.0,1.1670422572279477,-45.0,-41.32027816772461,1.8479614346848097,6,2
4.75,1.9,-45.0,-50.0,0.6174244019050434,-46.32027816772461,-50.0,0.9360386779966887,3,6
1.5,7.3,-45.0,-47.0,3.6837675151341798,-45.52811050415039,-47.0,3.857854427854336,5,4
4.0,6.4,-48.0,-37.0,1.7481284306702387,-48.0,-39.90461349487305,0.7541911397280534,5,4
1.0,4.6,-51.0,-45.0,0.754681731380221,-51.0,-46.58433532714844,0.7412000593807522,3,4
4.0,2.8,-45.0,-46.0,1.690836871546295,-45.26405715942383,-46.0,1.559691604380142,3,6
4.75,6.4,-44.0,-47.0,1.402941681531597,-44.79216766357422,-47.0,2.060147076613222,5,4
0.5,6.4,-43.0,-39.0,1.2470542483408198,-43.0,-40.05622100830078,1.7865039257129465,4,2
2.0,4.6,-43.0,-45.0,1.257923295689369,-43.52811050415039,-45.0,1.1052880941245375,3,4
2.0,7.3,-50.0,-38.0,0.8495220000744217,-50.0,-41.16866683959961,2.695344060900692,5,2
2.0,4.6,-48.0,-47.0,2.1328752218097664,-48.0,-47.26405715942383,2.0337762634811183,3,4
3.0,6.4,-43.0,-57.0,0.24127024516103673,-46.69677734375,-57.0,0.4594940935161032,5,3
0.5,4.6,-43.0,-39.0,2.271583881237339,-43.0,-40.05622100830078,2.9188535714848878,3,4
4.75,7.3,-45.0,-47.0,3.010235728607229,-45.52811050415039,-47.0,3.2246147323527614,6,4
3.5,8.2,-45.0,-40.0,0.39832575912808693,-45.0,-41.32027816772461,0.9704827167319661,6,3
3.0,1.9,-56.0,-31.0,7.060002545635141,-56.0,-37.60139083862305,4.569195114780221,3,6
0.5,4.6,-43.0,-39.0,2.271583881237339,-43.0,-40.05622100830078,2.9188535714848878,3,4
3.5,7.3,-50.0,-39.0,0.9612125560435916,-50.0,-41.90461349487305,2.445445830297538,5,3
3.0,8.2,-43.0,-40.0,1.4879888760266287,-43.0,-40.79216766357422,1.4338491606912316,6,2
1.0,7.3,-63.0,-39.0,0.360702882824247,-63.0,-45.33733367919922,4.750324806250076,5,2
1.5,9.1,-46.0,-38.0,1.7127996766101983,-46.0,-40.11244583129883,2.422380959621284,6,2
2.5,1.9,-32.0,-47.0,0.6061154096702552,-35.96083450317383,-47.0,2.873777038294903,2,6
3.0,8.2,-43.0,-40.0,1.4879888760266287,-43.0,-40.79216766357422,1.4338491606912316,6,2
0.5,4.6,-43.0,-39.0,2.271583881237339,-43.0,-40.05622100830078,2.9188535714848878,3,4
1.5,6.4,-48.0,-50.0,0.18757986781881233,-48.52811050415039,-50.0,0.06284501435429041,4,3
1.5,9.1,-46.0,-38.0,1.7127996766101983,-46.0,-40.11244583129883,2.422380959621284,6,2
3.0,9.1,-43.0,-40.0,2.289815636377635,-43.0,-40.79216766357422,2.299909111976194,6,2
3.5,4.6,-82.0,-42.0,0.8999999999985899,-82.0,-52.562225341796875,1.540292180211656,4,4
4.75,7.3,-45.0,-47.0,3.010235728607229,-45.52811050415039,-47.0,3.2246147323527614,6,4
0.5,7.3,-43.0,-37.0,1.5870121515359308,-43.0,-38.58433532714844,1.475919236919494,5,2
4.75,8.2,-48.0,-46.0,2.2374723566386834,-48.0,-46.52811050415039,2.2877741102064455,6,3
