2023-06-28 21:12:10.435	Xiaomi_CEB5_5G	f0:b4:29:da:ce:b7	-53
2023-06-28 21:12:10.439	Peppa Pig	48:a1:95:eb:c6:21	-70
2023-06-28 21:12:10.441	BUAA-Mobile	18:64:72:d3:21:b1	-55
2023-06-28 21:12:10.442	BUAA-WiFi	18:64:72:d3:21:b0	-55
2023-06-28 21:12:10.443	AP1_5G	f0:b4:29:db:56:86	-59
2023-06-28 21:12:10.444	Peppa Pig	48:a1:95:eb:c6:20	-56
2023-06-28 21:12:10.446	AP1	f0:b4:29:db:56:85	-43
2023-06-28 21:12:10.446	Xiaomi_CEB5	f0:b4:29:da:ce:b6	-37
2023-06-28 21:12:10.447		d6:35:38:a3:d0:a8	-94
2023-06-28 21:12:10.448	BUAA-Mobile	18:64:72:d3:03:91	-66
2023-06-28 21:12:10.449	BUAA-WiFi	18:64:72:d3:03:90	-65
2023-06-28 21:12:10.450	BUAA-Mobile	18:64:72:d3:21:a1	-70
2023-06-28 21:12:10.451	BUAA-WiFi	18:64:72:d3:21:a0	-70
2023-06-28 21:12:10.451	HUAWEI-GYEL3E_5G	c8:94:bb:21:09:24	-91
2023-06-28 21:12:10.452	BUAA-Mobile	18:64:72:d3:1f:e1	-86
2023-06-28 21:12:10.453	BUAA-WiFi	18:64:72:d3:03:80	-73
2023-06-28 21:12:10.454	CMT	28:64:b0:7b:b0:a0	-84
2023-06-28 21:12:10.455	BUAA-WiFi	18:64:72:d3:29:50	-78
2023-06-28 21:12:10.456	TOUYING	00:5a:13:68:d2:78	-87
2023-06-28 21:12:10.456	HUAWEI-AF135Y	42:b9:5a:e0:81:02	-93
2023-06-28 21:12:10.457	BUAA-Mobile	b0:f9:63:24:54:b2	-92
2023-06-28 21:12:10.458	BUAA-WiFi	b0:f9:63:24:54:b0	-93
2023-06-28 21:12:10.459	BUAA-WiFi	18:64:72:d3:29:40	-82
2023-06-28 21:12:10.460		32:b4:9e:60:24:33	-94
2023-06-28 21:12:10.461	HUAWEI-GYEL3E_5G	a8:5a:e0:db:b5:0c	-95
2023-06-28 21:12:10.463		28:64:b0:7b:b0:a1	-85
2023-06-28 21:12:10.463	BUAA-Mobile	40:e3:d6:1a:cc:41	-92
2023-06-28 21:12:10.464	TP-LINK_D64A	30:fc:68:01:d6:4a	-95
