Date,Time,Name,MAC,Value
2023-06-07,10:43:07.553,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:08.533,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:09.536,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:10.536,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:11.538,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:12.539,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:13.541,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:14.540,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:15.539,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:16.540,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:17.538,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:18.540,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:19.540,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:20.542,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:21.540,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:22.544,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:23.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:24.545,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:25.545,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:26.546,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:27.544,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:28.541,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:29.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:30.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:31.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:32.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:33.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:34.546,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:35.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:36.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:37.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:38.547,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:39.546,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:40.548,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:41.548,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:42.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:43.554,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:44.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:45.550,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:46.551,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:47.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:48.551,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:49.550,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:50.549,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:51.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:52.554,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:53.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:54.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:55.549,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:56.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:57.552,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:58.554,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:43:59.554,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:00.551,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:01.556,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:02.555,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:03.556,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:04.554,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:05.551,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:06.555,AP1,f0:b4:29:db:56:85,-44
2023-06-07,10:44:07.556,AP1,f0:b4:29:db:56:85,-44
