Date,Time,Name,MAC,Value
2023-06-07,15:13:49.793,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:13:50.774,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:13:51.781,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:13:52.780,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:53.779,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:54.780,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:55.789,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:56.778,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:57.786,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:58.784,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:13:59.790,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:00.777,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:01.780,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:02.790,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:03.789,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:04.787,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:05.784,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:06.793,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:07.792,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:08.784,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:09.796,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:10.788,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:11.787,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:12.781,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:13.783,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:14.788,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:15.790,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:16.786,AP1,f0:b4:29:db:56:85,-48
2023-06-07,15:14:17.802,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:18.795,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:19.793,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:20.790,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:21.798,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:22.798,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:23.804,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:24.808,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:25.806,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:26.797,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:27.806,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:28.804,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:29.811,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:30.811,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:31.800,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:32.801,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:33.810,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:34.808,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:35.797,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:36.797,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:37.797,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:38.793,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:39.804,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:40.798,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:41.800,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:42.799,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:43.797,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:44.796,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:45.798,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:46.798,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:47.800,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:48.803,AP1,f0:b4:29:db:56:85,-49
2023-06-07,15:14:49.810,AP1,f0:b4:29:db:56:85,-49
