Date,Time,Name,MAC,Value
2023-06-07,11:05:55.915,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:05:56.900,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:05:57.907,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:05:58.900,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:05:59.906,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:00.900,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:01.908,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:02.903,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:03.909,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:04.909,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:05.909,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:06.909,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:07.910,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:08.909,AP1,f0:b4:29:db:56:85,-44
2023-06-07,11:06:09.922,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:10.911,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:11.923,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:12.919,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:13.921,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:14.912,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:15.917,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:16.929,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:17.914,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:18.925,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:19.925,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:20.922,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:21.930,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:22.911,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:23.918,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:24.933,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:25.915,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:26.922,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:27.926,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:28.922,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:29.934,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:30.911,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:31.917,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:32.928,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:33.918,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:34.930,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:35.931,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:36.928,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:37.934,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:38.923,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:39.933,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:40.934,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:41.934,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:42.928,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:43.935,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:44.918,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:45.925,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:46.935,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:47.935,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:48.935,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:49.936,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:50.936,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:51.937,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:52.937,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:53.931,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:54.938,AP1,f0:b4:29:db:56:85,-43
2023-06-07,11:06:55.938,AP1,f0:b4:29:db:56:85,-43
