Date,Time,Name,MAC,Value
2023-06-07,11:11:01.988,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:02.976,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:03.975,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:04.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:05.972,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:06.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:07.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:08.974,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:09.982,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:10.974,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:11.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:12.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:13.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:14.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:15.982,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:16.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:17.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:18.977,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:19.983,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:20.983,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:21.981,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:22.982,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:23.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:24.979,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:25.982,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:26.984,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:27.985,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:28.984,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:29.979,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:30.980,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:31.985,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:32.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:33.989,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:34.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:35.984,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:36.988,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:37.988,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:38.987,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:39.987,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:40.989,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:41.983,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:42.988,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:43.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:44.991,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:45.983,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:46.991,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:47.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:48.989,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:49.985,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:50.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:51.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:52.992,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:53.994,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:54.993,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:55.986,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:56.987,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:57.993,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:58.994,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:11:59.994,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:12:00.984,AP1,f0:b4:29:db:56:85,-58
2023-06-07,11:12:01.990,AP1,f0:b4:29:db:56:85,-58
