Date,Time,Name,MAC,Value
2023-06-07,09:00:42.762,AP1,f0:b4:29:db:56:85,-38
2023-06-07,09:00:43.753,AP1,f0:b4:29:db:56:85,-38
2023-06-07,09:00:44.758,AP1,f0:b4:29:db:56:85,-38
2023-06-07,09:00:45.749,AP1,f0:b4:29:db:56:85,-38
2023-06-07,09:00:46.740,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:47.740,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:48.746,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:49.744,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:50.741,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:51.742,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:52.744,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:53.744,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:54.745,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:55.741,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:56.742,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:57.742,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:58.746,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:00:59.746,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:00.748,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:01.748,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:02.743,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:03.746,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:04.747,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:05.746,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:07.765,AP1,f0:b4:29:db:56:85,-50
2023-06-07,09:01:08.764,AP1,f0:b4:29:db:56:85,-49
2023-06-07,09:01:09.748,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:10.750,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:11.754,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:12.760,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:13.759,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:14.759,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:15.760,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:16.761,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:17.761,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:18.756,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:19.754,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:20.763,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:21.763,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:22.762,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:23.764,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:24.766,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:25.766,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:26.767,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:27.769,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:28.767,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:29.769,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:30.769,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:31.769,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:32.771,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:33.771,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:34.772,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:35.767,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:36.768,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:37.772,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:38.773,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:39.774,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:40.772,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:41.774,AP1,f0:b4:29:db:56:85,-52
2023-06-07,09:01:42.766,AP1,f0:b4:29:db:56:85,-52
