Date,Time,Name,MAC,Value
2023-06-07,15:28:57.887,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:28:58.874,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:28:59.872,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:00.875,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:01.889,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:02.883,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:03.876,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:04.886,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:05.879,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:06.879,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:07.881,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:08.878,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:09.874,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:10.876,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:11.875,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:12.880,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:13.877,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:14.874,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:15.874,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:16.876,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:17.876,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:18.877,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:19.877,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:20.875,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:21.898,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:22.882,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:23.877,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:24.879,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:25.876,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:26.881,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:27.880,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:28.881,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:29.885,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:30.884,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:31.889,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:32.891,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:33.886,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:34.887,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:35.888,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:36.889,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:37.889,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:38.887,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:39.888,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:40.891,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:41.887,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:42.890,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:43.889,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:44.893,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:45.887,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:46.893,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:47.895,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:48.899,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:49.894,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:50.892,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:51.897,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:52.893,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:53.897,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:54.895,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:55.899,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:56.896,AP1,f0:b4:29:db:56:85,-43
2023-06-07,15:29:57.894,AP1,f0:b4:29:db:56:85,-43
